1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.915716666082884378e-01,9.998232889146482227e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999718434978333015e-01
9.629360436412860436e-01,9.980568895617077940e-01,9.999955607135583291e-01,9.999634639711614259e-01,1.000000000000000000e+00,9.998570852839629985e-01,9.992504148803351693e-01
9.147966395874075340e-01,9.905087058978994108e-01,9.993536046314757115e-01,9.996692544029720517e-01,9.996406298516378186e-01,9.991688939476224274e-01,9.947030237196077262e-01
8.522894467435983001e-01,9.767959935578901520e-01,9.984956499892770898e-01,9.990261970709729544e-01,9.982955661159356175e-01,9.954889049586159722e-01,9.816302211027948532e-01
7.985446052116360605e-01,9.556507163058318710e-01,9.962856783514542069e-01,9.970747520412400755e-01,9.959664686506128906e-01,9.867270811189604585e-01,9.600529162587990717e-01
7.308780147716044118e-01,9.232677384755745287e-01,9.902306610310415147e-01,9.913913918334741338e-01,9.889898054354143708e-01,9.681444960919048937e-01,9.241831001278726365e-01
6.712757744476228750e-01,8.829851945684533687e-01,9.796940663427814444e-01,9.824506145883642461e-01,9.755632842269278404e-01,9.377660624676474876e-01,8.830132139750128673e-01
6.166943751523830120e-01,8.494792204148028381e-01,9.653855698753585068e-01,9.662843482832408348e-01,9.534488546056850700e-01,9.009468603326349356e-01,8.360522072097823498e-01
5.722655104041547425e-01,8.135753454293590536e-01,9.457516166191269891e-01,9.478877936566139084e-01,9.247943114957335453e-01,8.550543353477690900e-01,7.873832227396705408e-01
5.364856624349511049e-01,7.926910615263975668e-01,9.239944562230323344e-01,9.188441972982472894e-01,8.891973075293168050e-01,8.091010745205570176e-01,7.292403432523066886e-01
5.118389194059412839e-01,7.627363816913264039e-01,8.925957175039500591e-01,8.927029591945804254e-01,8.456351963851207465e-01,7.550996648532828370e-01,6.793083979418473861e-01
4.954112875588483900e-01,7.560375261077573183e-01,8.733838610506740041e-01,8.582268529069817520e-01,8.093137285907754386e-01,7.099270442602836351e-01,6.277284678566197318e-01
4.897360881305705127e-01,7.506882887454338071e-01,8.446472637824153917e-01,8.236763091788145141e-01,7.707682182007449256e-01,6.637413572683028562e-01,5.849410436373245759e-01
4.869152686630965898e-01,7.457988155806825059e-01,8.155073480836930733e-01,7.992326215993411642e-01,7.321836254209174166e-01,6.275586990473243088e-01,5.430886697862152834e-01
